locality,bhk,area_sqft,price_lakhs
Ambernath,1,638,26
Ambernath,1,680,36
Ambernath,2,1100,56
Ambernath,2,993,35
Ambernath,1,740,26
Ambernath,2,847,32
Ambernath,1,720,33
Ambernath,2,1080,46
Ambernath,1,680,36
Ambernath,2,1100,56
Ambernath,2,860,32
Ambernath,2,1270,46
Ambernath,3,1700,90
Ambernath,1,675,26
Ambernath,1,675,37
Ambernath,2,950,40
Ambernath,1,720,38
Ambernath,1,690,26
Ambernath,2,1150,42
Ambernath,1,690,29
Ambernath,2,1150,42
Ambernath,1,690,29
Ambernath,1,690,24
Ambernath,2,980,36
Ambernath,1,675,26
Ambernath,2,1129,65
Ambernath,1,695,25
Ambernath,2,985,35
Ambernath,1,691,24
Ambernath,1,640,23
Ambernath,2,916,33
Ambernath,1,674,24
Ambernath,1,800,33
Ambernath,2,1090,40
Ambernath,1,755,28
Ambernath,2,1095,63
Ambernath,2,950,37
Ambernath,1,670,25
Ambernath,2,1120,51
Ambernath,2,880,43
Ambernath,2,1050,44
Ambernath,1,650,25
Ambernath,2,1040,36
Ambernath,2,1100,55
Ambernath,1,660,32
Ambernath,2,850,43
Ambernath,1,585,34
Ambernath,1,730,37
Ambernath,1,857,30
Ambernath,2,1279,52
Ambernath,1,659,25
Ambernath,2,907,34
Ambernath,2,938,37
Ambernath,1,665,25
Ambernath,2,876,33
Ambernath,1,617,24
Ambernath,1,690,33
Ambernath,1,625,28
Ambernath,1,690,33
Ambernath,1,625,28
Ambernath,2,946,39
Ambernath,1,456,16
Ambernath,2,850,32
Ambernath,2,810,32
Ambernath,1,580,23
Ambernath,1,550,23
Ambernath,2,885,36
Ambernath,1,644,26
Ambernath,2,885,36
Ambernath,1,585,34
Ambernath,1,690,33
Ambernath,1,625,28
Ambernath,1,857,30
Ambernath,1,730,37
Ambernath,2,1279,52
Ambernath,1,675,26
Ambernath,1,456,16
Ambernath,2,850,32
Ambernath,2,810,32
Ambernath,1,580,23
Ambernath,1,550,23
Ambernath,2,885,36
Ambernath,1,644,26
Ambernath,2,885,36
Ambernath,2,838,34
Ambernath,1,685,28
Ambernath,1,644,27
Ambernath,2,1183,50
Ambernath,2,941,40
Ambernath,1,672,28
Ambernath,1,690,26
Ambernath,1,520,22
Ambernath,1,741,27
Ambernath,1,820,28
Ambernath,2,633,35
Ambernath,1,543,23
Ambernath,1,730,34
Ambernath,2,645,38
Ambernath,2,644,38
Ambernath,1,449,26
Ambernath,2,683,40
Ambernath,1,437,25
Ambernath,1,486,28
Ambernath,1,460,27
Ambernath,1,346,16
Ambernath,1,550,22
Ambernath,1,700,29
Ambernath,1,645,23
Ambernath,1,706,25
Ambernath,1,456,16
Ambernath,1,436,16
Ambernath,1,625,24
Ambernath,2,885,36
Ambernath,2,838,34
Ambernath,2,796,32
Ambernath,1,685,28
Ambernath,1,644,26
Ambernath,1,640,23
Ambernath,1,690,25
Ambernath,1,645,23
Ambernath,2,850,32
Ambernath,2,925,39
Ambernath,2,1000,42
Ambernath,2,865,36
Ambernath,1,690,24
Ambernath,1,690,25
Ambernath,2,1000,42
Ambernath,1,640,24
Ambernath,1,680,26
Ambernath,1,669,28
Ambernath,1,580,23
Ambernath,2,606,32
Ambernath,2,573,30
Ambernath,1,420,22
Ambernath,1,580,23
Ambernath,1,550,22
Ambernath,1,565,22
Ambernath,1,580,23
Ambernath,1,565,22
Ambernath,1,640,24
Ambernath,2,850,32
Ambernath,2,951,37
Ambernath,1,690,24
Ambernath,1,550,22
Ambernath,1,565,22
Ambernath,1,580,23
Ambernath,1,565,22
Ambernath,1,640,24
Ambernath,2,850,32
Ambernath,2,951,37
Ambernath,1,690,24
Ambernath,2,946,39
Ambernath,2,900,37
Ambernath,1,387,20
Ambernath,2,527,27
Ambernath,1,426,22
Ambernath,1,435,23
Ambernath,1,430,22
Ambernath,1,389,20
Ambernath,3,821,44
Ambernath,1,346,16
Ambernath,2,662,36
Ambernath,1,438,24
Ambernath,1,346,16
Ambernath,1,550,22
